iter	Passed	Remaining
0	305	611300
1	826	826084
2	1189	791776
3	1517	757247
4	1792	715162
5	2085	693097
6	2382	678353
7	2664	663519
8	2939	650374
9	3211	639067
10	3514	635431
11	3790	627991
12	4064	621192
13	4338	615513
14	4614	610657
15	4879	605119
16	5154	601281
17	5446	599715
18	5745	599072
19	6010	594994
20	6302	593899
21	6592	592723
22	6897	592899
23	7195	592448
24	7459	589288
25	7727	586675
26	8009	585307
27	8286	583577
28	8592	583988
29	8882	583274
30	9196	584099
31	9486	583403
32	9758	581636
33	10087	583276
34	10373	582370
35	10647	580884
36	10921	579440
37	11218	579236
38	11520	579275
39	11798	578116
40	12074	576942
41	12350	575788
42	12673	576808
43	12948	575601
44	13217	574246
45	13513	574010
46	13811	573919
47	14104	573589
48	14383	572713
49	14702	573396
50	14975	572314
51	15255	571479
52	15530	570520
53	15807	569656
54	16104	569515
55	16491	572486
56	16768	571583
57	17079	571884
58	17392	572188
59	17694	572115
60	17989	571820
61	18272	571162
62	18541	570069
63	18868	570761
64	19243	572874
65	19584	573896
66	19943	575386
67	20211	574231
68	20473	572951
69	20736	571724
70	21011	570850
71	21275	569720
72	21535	568484
73	21791	567175
74	22050	565965
75	22318	565002
76	22574	563768
77	22838	562770
78	23115	562075
79	23446	562713
80	23792	563669
81	24106	563845
82	24402	563608
83	24697	563340
84	24984	562885
85	25273	562482
86	25562	562088
87	25853	561720
88	26146	561412
89	26439	561110
90	26743	561018
91	27031	560606
92	27321	560243
93	27614	559926
94	27908	559645
95	28198	559266
96	28484	558830
97	28774	558452
98	29058	557978
99	29343	557523
100	29633	557160
101	29936	557058
102	30246	557054
103	30568	557281
104	30877	557271
105	31180	557133
106	31473	556820
107	31794	556986
108	32123	557292
109	32453	557605
110	32782	557892
111	33084	557701
112	33374	557326
113	33678	557166
114	34006	557409
115	34334	557647
116	34663	557868
117	34993	558114
118	35352	558809
119	35696	559248
120	36155	561450
121	36504	561928
122	36826	561972
123	37139	561888
124	37444	561663
125	37762	561645
126	38070	561471
127	38389	561439
128	38707	561401
129	39044	561641
130	39372	561729
131	39691	561698
132	40014	561711
133	40323	561515
134	40631	561323
135	40938	561096
136	41236	560749
137	41536	560435
138	41847	560276
139	42172	560294
140	42489	560199
141	42807	560121
142	43123	560003
143	43442	559923
144	43766	559907
145	44093	559930
146	44416	559890
147	44739	559850
148	45053	559689
149	45365	559506
150	45680	559365
151	46005	559332
152	46334	559340
153	46649	559188
154	46967	559070
155	47273	558794
156	47583	558573
157	47939	558889
158	48268	558877
159	48610	559022
160	48938	558993
161	49250	558781
162	49558	558516
163	49875	558364
164	50193	558207
165	50499	557923
166	50806	557657
167	51102	557255
168	51423	557133
169	51732	556881
170	52046	556688
171	52358	556466
172	52671	556250
173	52974	555930
174	53272	555557
175	53568	555161
176	53883	554968
177	54202	554817
178	54523	554678
179	54844	554536
180	55164	554384
181	55473	554121
182	55778	553826
183	56083	553517
184	56388	553214
185	56684	552822
186	56992	552550
187	57289	552169
188	57583	551767
189	57878	551366
190	58172	550959
191	58465	550550
192	58764	550190
193	59051	549730
194	59347	549349
195	59636	548896
196	59930	548499
197	60226	548122
198	60535	547858
199	60830	547471
200	61129	547120
201	61431	546804
202	61729	546441
203	62051	546300
204	62367	546095
205	62705	546083
206	63031	545969
207	63350	545788
208	63670	545616
209	63985	545397
210	64298	545165
211	64632	545106
212	64963	545024
213	65278	544802
214	65600	544636
215	65925	544497
216	66241	544280
217	66550	544006
218	66848	543642
219	67155	543347
220	67458	543027
221	67763	542717
222	68093	542607
223	68434	542589
224	68767	542497
225	69084	542281
226	69405	542098
227	69713	541806
228	70030	541586
229	70368	541532
230	70698	541409
231	71025	541266
232	71368	541238
233	71736	541393
234	72060	541221
235	72358	540847
236	72720	540954
237	73050	540819
238	73370	540606
239	73668	540237
240	73963	539844
241	74260	539460
242	74552	539044
243	74853	538697
244	75148	538305
245	75444	537927
246	75752	537630
247	76097	537591
248	76420	537395
249	76760	537323
250	77096	537216
251	77419	537021
252	77718	536656
253	78025	536346
254	78336	536065
255	78659	535864
256	78979	535648
257	79299	535422
258	79628	535264
259	79950	535056
260	80279	534888
261	80605	534700
262	80934	534539
263	81269	534407
264	81594	534210
265	81913	533975
266	82248	533845
267	82572	533641
268	82899	533454
269	83230	533293
270	83553	533074
271	83868	532812
272	84194	532616
273	84506	532328
274	84823	532076
275	85139	531815
276	85454	531542
277	85773	531300
278	86105	531139
279	86435	530960
280	86751	530696
281	87077	530495
282	87389	530205
283	87706	529946
284	88037	529772
285	88371	529613
286	88709	529474
287	89050	529357
288	89386	529205
289	89714	529008
290	90045	528823
291	90381	528670
292	90717	528511
293	91049	528333
294	91370	528090
295	91682	527791
296	91981	527421
297	92290	527106
298	92609	526854
299	92931	526609
300	93263	526425
301	93589	526207
302	93890	525848
303	94195	525511
304	94503	525189
305	94814	524886
306	95137	524648
307	95443	524321
308	95750	523996
309	96051	523635
310	96356	523302
311	96653	522922
312	96969	522644
313	97270	522286
314	97570	521927
315	97865	521536
316	98179	521248
317	98506	521029
318	98833	520814
319	99157	520579
320	99485	520359
321	99796	520056
322	100193	520201
323	100533	520044
324	100857	519806
325	101168	519499
326	101467	519130
327	101767	518766
328	102062	518375
329	102370	518057
330	102681	517749
331	103024	517603
332	103357	517405
333	103703	517273
334	104036	517076
335	104377	516918
336	104720	516764
337	105036	516478
338	105351	516190
339	105657	515856
340	105961	515511
341	106268	515183
342	106565	514809
343	106866	514450
344	107171	514110
345	107496	513871
346	107795	513506
347	108103	513181
348	108405	512828
349	108712	512499
350	109007	512117
351	109320	511817
352	109617	511443
353	109914	511072
354	110221	510742
355	110513	510347
356	110814	509995
357	111126	509691
358	111438	509388
359	111741	509042
360	112047	508714
361	112350	508371
362	112662	508065
363	112967	507730
364	113271	507392
365	113596	507148
366	113915	506878
367	114248	506669
368	114595	506516
369	114924	506289
370	115259	506087
371	115595	505885
372	115907	505582
373	116276	505522
374	116697	505688
375	117103	505788
376	117442	505594
377	117819	505562
378	118209	505587
379	118554	505414
380	118889	505203
381	119190	504842
382	119486	504465
383	119780	504075
384	120078	503706
385	120379	503349
386	120680	502989
387	120977	502617
388	121285	502288
389	121595	501971
390	121925	501734
391	122247	501463
392	122623	501413
393	122933	501093
394	123260	500841
395	123580	500564
396	123904	500299
397	124337	500475
398	124682	500293
399	125113	500455
400	125472	500323
401	125808	500106
402	126140	499868
