iter	PairLogit
0	0.6743758906
1	0.6625884219
2	0.6503050993
3	0.6369320595
4	0.6240409295
5	0.6156088291
6	0.6055312542
7	0.5941145785
8	0.5858256736
9	0.5766551285
10	0.5683943973
11	0.5601081251
12	0.5524734625
13	0.5470377323
14	0.5427210074
15	0.5377124633
16	0.532419995
17	0.5276058029
18	0.5233505891
19	0.5201947831
20	0.5163296815
21	0.512692583
22	0.5083933144
23	0.5062159486
24	0.5031084654
25	0.5007052405
26	0.4983820227
27	0.4958084767
28	0.4930197358
29	0.4903682675
30	0.4878417274
31	0.4867935335
32	0.4850586892
33	0.4834325897
34	0.4818891087
35	0.4802947444
36	0.4793016162
37	0.4780152859
38	0.4769432449
39	0.4751202452
40	0.4742292053
41	0.472178031
42	0.4715479043
43	0.4709618171
44	0.4704281301
45	0.4695115198
46	0.4688443181
47	0.4681108765
48	0.4669570161
49	0.4661013066
50	0.4652889318
51	0.4642395577
52	0.4635680268
53	0.4627228752
54	0.4617664282
55	0.4608813806
56	0.4601840476
57	0.4595803496
58	0.458690781
59	0.4582090913
60	0.4577155817
61	0.4572760931
62	0.4569977267
63	0.4564365715
64	0.4559270294
65	0.455355142
66	0.4545901009
67	0.4539841039
68	0.4534952426
69	0.4528904495
70	0.4526874434
71	0.4522568323
72	0.4519380226
73	0.4515985972
74	0.4513750263
75	0.4511929484
76	0.4507388818
77	0.4502404688
78	0.4498171339
79	0.4493517746
80	0.4490842297
81	0.4487390281
82	0.4484647661
83	0.4481653122
84	0.4477280089
85	0.4475086143
86	0.4472289754
87	0.4468060394
88	0.4467207183
89	0.4465084048
90	0.4463889505
91	0.4460381942
92	0.4457046024
93	0.4455370053
94	0.4454397721
95	0.4453367
96	0.4451339558
97	0.4447492981
98	0.4444421947
99	0.4442968042
100	0.444141556
101	0.4438877952
102	0.4437876142
103	0.4435365097
104	0.4432352751
105	0.4430739628
106	0.4428980825
107	0.442623897
108	0.4423993568
109	0.4422136263
110	0.4420471736
111	0.4418295988
112	0.4416494003
113	0.4415750667
114	0.4414414844
115	0.4412717573
116	0.4410853059
117	0.4409339904
118	0.4408796427
119	0.440644228
120	0.4405180135
121	0.4403990135
122	0.4403247944
123	0.44015587
124	0.4400072751
125	0.4398565521
