iter	Passed	Remaining
0	289	202160
1	544	190132
2	802	186427
3	1127	196105
4	1527	212313
5	1830	211713
6	2125	210452
7	2395	207180
8	2655	203905
9	2917	201288
10	3177	199031
11	3452	197920
12	3738	197550
13	4018	196900
14	4271	195045
15	4538	194025
16	4836	194312
17	5120	193997
18	5423	194395
19	5680	193120
20	5945	192251
21	6211	191418
22	6465	190299
23	6717	189205
24	6973	188290
25	7229	187414
26	7491	186730
27	7762	186288
28	8027	185728
29	8297	185309
30	8569	184942
31	8823	184197
32	9085	183633
33	9387	183887
34	9654	183440
35	9916	182910
36	10174	182324
37	10441	181910
38	10722	181728
39	10991	181352
40	11309	181786
41	11602	181777
42	11939	182426
43	12247	182591
44	12559	182806
45	12867	182948
46	13143	182616
47	13423	182332
48	13731	182439
49	14017	182225
50	14348	182597
51	14679	182935
52	14972	182771
53	15315	183221
54	15635	183358
55	15998	183984
56	16358	184537
57	16724	185124
58	17073	185490
59	17402	185622
60	17706	185478
61	18001	185239
62	18296	184999
63	18608	184922
64	18992	185542
65	19298	185384
66	19597	185151
67	19901	184970
68	20197	184707
69	20500	184501
70	20832	184558
71	21120	184217
72	21409	183883
73	21708	183644
74	22049	183742
75	22376	183720
76	22691	183594
77	23002	183427
78	23345	183511
79	23647	183268
80	23990	183334
81	24311	183226
82	24665	183354
83	24973	183142
84	25304	183084
85	25605	182814
86	25909	182558
87	26207	182260
88	26499	181921
89	26785	181542
90	27067	181143
91	27361	180825
92	27652	180485
93	27946	180167
94	28240	179845
95	28567	179737
96	28886	179573
97	29177	179234
98	29464	178872
99	29750	178501
100	30038	178147
101	30337	177861
102	30652	177667
103	30975	177511
104	31268	177186
105	31558	176846
106	31861	176579
107	32182	176408
108	32507	176258
109	32891	176419
110	33289	176642
111	33592	176360
112	33899	176097
113	34249	176054
114	34588	175949
115	34893	175673
116	35202	175408
117	35498	175083
118	35791	174746
119	36119	174578
120	36432	174334
121	36727	174004
122	37017	173649
123	37309	173310
124	37596	172942
125	37894	172631
126	38211	172401
127	38510	172092
128	38811	171793
129	39092	171406
130	39461	171400
131	39768	171124
132	40059	170780
133	40383	170574
134	40715	170402
135	41061	170283
136	41428	170251
137	41712	169871
138	42009	169550
139	42316	169265
140	42619	168964
141	42924	168673
142	43234	168402
143	43591	168310
144	43899	168030
145	44212	167766
146	44538	167549
147	44821	167170
148	45099	166778
149	45394	166444
150	45682	166089
151	45983	165784
152	46299	165526
153	46615	165272
154	46921	164982
155	47204	164609
156	47508	164313
157	47808	164000
158	48112	163702
159	48537	163814
160	48892	163682
161	49193	163370
162	49504	163090
163	49806	162783
164	50111	162482
165	50424	162208
166	50731	161915
167	51017	161556
