iter	Passed	Remaining
0	323	646372
1	690	689935
2	1243	827833
3	1588	792829
4	1856	740608
5	2130	708147
6	2395	682051
7	2660	662582
8	2927	647543
9	3219	640775
10	3516	635931
11	3838	635887
12	4147	633892
13	4464	633383
14	4741	627415
15	5006	620853
16	5285	616518
17	5548	610904
18	5812	606072
19	6075	601454
20	6348	598311
21	6613	594624
22	6897	592867
23	7176	590882
24	7523	594343
25	7799	592191
26	8111	592725
27	8447	594954
28	8733	593576
29	9013	591882
30	9304	590991
31	9588	589710
32	9881	588982
33	10169	588018
34	10445	586462
35	10714	584533
36	10979	582491
37	11253	581061
38	11522	579373
39	11785	577508
40	12167	581387
41	12519	583629
42	12933	588639
43	13299	591236
44	13693	594904
45	14041	596446
46	14418	599150
47	14780	601084
48	15170	604019
49	15609	608768
50	15978	610628
51	16324	611550
52	16718	614165
53	17091	615909
54	17435	616567
55	17789	617562
56	18138	618307
57	18488	619041
58	18821	619197
59	19180	620169
60	19547	621350
61	19882	621501
62	20242	622388
63	20590	622861
64	20930	623097
65	21270	623275
66	21594	623017
67	21911	622552
68	22272	623305
69	22692	625672
70	23059	626496
71	23491	629047
72	23895	630772
73	24261	631449
74	24653	632778
75	24990	632663
76	25334	632696
77	25680	632802
78	26016	632626
79	26349	632396
80	26699	632544
81	27038	632448
82	27388	632578
83	27808	634301
84	28175	634781
85	28516	634661
86	28922	635972
87	29268	635934
88	29648	636608
89	29982	636303
90	30391	637551
91	30770	638144
92	31184	639446
93	31593	640600
94	31949	640680
95	32280	640224
96	32606	639694
97	32947	639459
98	33336	640123
99	33712	640534
100	34091	640981
101	34464	641303
102	34849	641837
103	35203	641787
104	35555	641695
105	35899	641444
106	36234	641050
107	36616	641463
108	37107	643768
109	37499	644317
110	37922	645371
111	38358	646610
112	38732	646801
113	39093	646751
114	39441	646495
115	39782	646115
116	40121	645709
117	40445	645066
118	40770	644447
119	41110	644071
120	41501	644475
121	41900	644989
122	42230	644450
123	42550	643750
124	42873	643106
125	43212	642706
126	43547	642246
127	43865	641535
128	44199	641069
129	44513	640312
130	44838	639725
131	45243	640266
132	45580	639834
133	45898	639156
134	46222	638561
135	46580	638424
136	46948	638434
137	47312	638369
138	47642	637856
139	47957	637145
140	48278	636517
141	48593	635821
142	48926	635353
143	49277	635134
144	49623	634833
145	49956	634376
146	50301	634068
147	50634	633611
148	50968	633172
149	51314	632878
150	51654	632509
151	51987	632054
152	52326	631683
153	52660	631241
154	52994	630800
155	53326	630351
156	53652	629823
157	53983	629349
158	54305	628785
159	54631	628264
160	54932	627454
161	55255	626907
162	55595	626555
163	55912	625943
164	56223	625270
165	56524	624498
166	56832	623800
167	57151	623218
168	57523	623230
169	57969	624023
170	58499	625702
171	58995	626999
172	59425	627572
173	59821	627786
174	60181	627606
175	60525	627262
176	60921	627455
177	61279	627249
178	61697	627664
179	62039	627290
180	62348	626584
181	62656	625875
182	62969	625218
183	63285	624600
184	63605	624020
185	63931	623499
186	64316	623562
187	64713	623728
188	65065	623460
189	65386	622892
190	65716	622418
191	66076	622220
192	66389	621584
193	66690	620837
194	66997	620152
195	67386	620234
196	67733	619916
197	68091	619702
198	68403	619068
199	68700	618308
200	69004	617607
201	69325	617067
202	69641	616478
203	69954	615875
204	70334	615851
205	70692	615639
206	71030	615254
207	71478	615818
208	71862	615818
209	72278	616087
210	72674	616180
211	73016	615819
212	73360	615469
213	73702	615104
214	74045	614749
215	74371	614256
216	74683	613646
217	74992	613015
218	75308	612441
219	75624	611873
220	75940	611302
221	76249	610684
222	76572	610172
223	76891	609642
224	77219	609178
225	77538	608645
226	77871	608223
227	78201	607777
228	78522	607267
229	78856	606855
230	79193	606465
231	79582	606474
232	79895	605903
233	80196	605244
234	80515	604721
235	80851	604328
236	81227	604234
237	81806	605644
238	82330	606629
239	82896	607904
240	83305	608028
241	83809	608833
242	84273	609333
243	84680	609421
244	85029	609085
245	85417	609035
246	85789	608861
247	86140	608543
248	86536	608536
249	86891	608240
250	87277	608162
251	87659	608054
252	88007	607706
253	88350	607324
254	88681	606856
255	89015	606418
256	89354	606008
257	89714	605748
258	90083	605539
259	90451	605328
260	90769	604780
261	91150	604657
262	91497	604303
263	91834	603878
264	92171	603459
265	92543	603272
266	92882	602867
267	93292	602922
268	93634	602530
269	93981	602176
270	94321	601778
271	94685	601532
272	95053	601309
273	95401	600961
274	95742	600563
275	96061	600034
276	96372	599459
277	96686	598897
278	97054	598679
279	97405	598345
280	97776	598144
281	98136	597865
282	98509	597667
283	98877	597444
284	99238	597169
285	99611	596971
286	100010	596926
287	100415	596916
288	100799	596772
289	101141	596388
290	101516	596191
291	101893	596005
292	102303	596011
293	102656	595686
294	103011	595371
295	103389	595190
296	103821	595311
297	104211	595196
298	104558	594832
299	104940	594662
300	105290	594314
301	105620	593852
302	105975	593530
303	106368	593422
304	106728	593130
305	107139	593116
306	107517	592920
307	107936	592947
308	108343	592910
309	108730	592757
310	109108	592553
311	109478	592308
312	109834	591982
313	110171	591557
314	110545	591332
315	110914	591078
316	111300	590912
317	111802	591357
318	112363	592111
319	112767	592029
320	113133	591747
321	113473	591331
322	113800	590844
323	114141	590435
324	114541	590328
325	114906	590043
326	115252	589653
327	115610	589329
328	115955	588939
329	116291	588506
330	116631	588088
331	116958	587612
332	117284	587126
333	117620	586695
334	117952	586239
335	118285	585794
336	118662	585567
337	119069	585486
338	119435	585197
339	119770	584763
340	120098	584291
341	120420	583793
342	120778	583470
343	121118	583058
344	121477	582737
345	121840	582438
346	122186	582060
347	122546	581744
348	122907	581434
349	123250	581037
350	123591	580633
351	123940	580268
352	124348	580176
353	124686	579757
354	125069	579545
355	125401	579101
356	125743	578703
357	126098	578361
358	126450	578008
359	126814	577711
360	127159	577323
361	127493	576891
362	127829	576464
363	128200	576195
364	128611	576108
365	129028	576043
366	129519	576307
367	130003	576539
368	130434	576527
369	130819	576312
370	131263	576357
371	131674	576253
372	132081	576131
373	132449	575835
374	132831	575601
375	133198	575303
376	133532	574862
377	133867	574424
378	134242	574160
379	134579	573734
380	134954	573467
381	135279	572989
382	135610	572539
383	135936	572066
384	136299	571751
385	136670	571467
