iter	Passed	Remaining
0	125	87998
1	240	83920
2	346	80542
3	455	79202
4	565	78580
5	713	82508
6	861	85315
7	1019	88204
8	1164	89386
9	1317	90927
10	1463	91653
11	1623	93054
12	1754	92726
13	1878	92038
14	2001	91401
15	2128	91000
16	2271	91274
17	2412	91401
18	2525	90511
19	2642	89829
20	2774	89694
21	2907	89589
22	3025	89044
23	3141	88489
24	3252	87811
25	3358	87072
26	3467	86439
27	3582	85977
28	3695	85498
29	3816	85245
30	3927	84761
31	4041	84366
32	4169	84277
33	4300	84234
34	4423	84047
35	4535	83656
36	4659	83487
37	4770	83100
38	4875	82641
39	4985	82256
40	5092	81855
41	5204	81544
42	5313	81180
43	5419	80798
44	5525	80425
45	5636	80142
46	5743	79793
47	5855	79534
48	5976	79395
49	6108	79405
50	6217	79126
51	6319	78756
52	6431	78507
53	6534	78171
54	6646	77946
55	6759	77737
56	6870	77506
57	6978	77249
58	7087	76997
59	7205	76854
60	7315	76628
61	7426	76419
62	7535	76195
63	7639	75921
64	7748	75698
65	7850	75408
66	7957	75184
67	8059	74909
68	8162	74645
69	8270	74437
70	8374	74191
71	8479	73960
72	8585	73737
73	8692	73532
74	8800	73334
75	8907	73136
76	9011	72911
77	9124	72762
78	9231	72569
79	9340	72386
80	9453	72241
81	9561	72057
82	9673	71907
83	9782	71739
84	9890	71564
85	10029	71609
86	10156	71565
87	10294	71595
88	10406	71445
89	10515	71269
90	10629	71134
91	10736	70953
92	10844	70780
93	10954	70623
94	11068	70487
95	11205	70503
96	11313	70330
97	11434	70243
98	11556	70154
99	11688	70129
100	11822	70116
101	11960	70122
102	12107	70173
103	12245	70177
104	12399	70262
105	12547	70313
106	12694	70351
107	12839	70378
108	12980	70378
109	13147	70517
110	13317	70664
111	13473	70734
112	13639	70851
113	13783	70853
114	13919	70808
115	14059	70782
116	14199	70753
117	14344	70751
118	14481	70702
119	14617	70650
120	14763	70644
121	14901	70598
122	15047	70589
123	15190	70561
124	15338	70556
125	15477	70508
126	15625	70498
127	15763	70441
128	15915	70446
129	16048	70366
130	16211	70415
131	16378	70476
132	16549	70554
133	16706	70565
134	16858	70557
135	17013	70554
136	17160	70520
137	17316	70522
138	17468	70503
139	17621	70486
140	17777	70479
141	17933	70470
142	18076	70408
143	18248	70457
144	18412	70473
145	18568	70459
146	18736	70483
147	18884	70435
148	19030	70375
149	19171	70295
150	19323	70255
151	19470	70197
152	19613	70120
153	19747	70015
154	19898	69964
155	20039	69881
156	20179	69791
157	20321	69709
158	20469	69646
159	20614	69573
160	20765	69519
161	20914	69457
162	21068	69408
163	21210	69323
164	21356	69248
165	21503	69173
166	21654	69112
167	21794	69015
168	21938	68932
169	22081	68842
170	22219	68736
171	22356	68630
172	22493	68520
173	22628	68406
174	22763	68291
175	22902	68187
176	23049	68107
177	23195	68023
178	23339	67932
179	23480	67832
180	23621	67732
181	23778	67677
182	23935	67620
183	24093	67567
184	24231	67456
185	24370	67346
186	24507	67231
187	24636	67096
188	24780	67000
189	24916	66881
190	25058	66779
191	25197	66667
192	25339	66566
193	25482	66465
194	25618	66346
195	25776	66282
196	25962	66289
197	26132	66254
198	26278	66158
199	26420	66050
200	26583	65996
201	26774	66009
202	26932	65938
203	27115	65927
204	27290	65896
205	27436	65794
206	27581	65689
207	27787	65727
208	27931	65620
209	28086	65536
210	28254	65480
211	28413	65405
212	28623	65444
213	28805	65419
214	28964	65338
215	29134	65282
216	29311	65241
217	29463	65144
218	29620	65056
219	29763	64937
220	29905	64818
221	30050	64704
222	30197	64592
223	30340	64474
224	30479	64345
225	30643	64269
226	30850	64283
227	30993	64161
228	31134	64035
229	31284	63929
230	31426	63805
231	31565	63675
232	31724	63585
233	31864	63456
234	32005	63329
235	32186	63282
236	32352	63202
237	32497	63083
238	32637	62953
239	32787	62843
240	32976	62806
241	33152	62744
242	33327	62677
243	33495	62598
244	33656	62505
245	33813	62404
246	33970	62302
247	34127	62200
248	34290	62107
249	34447	62005
250	34607	61907
251	34766	61807
252	34932	61718
253	35085	61607
254	35234	61487
255	35382	61366
256	35525	61237
257	35665	61101
258	35820	60992
259	35956	60849
260	36094	60710
261	36233	60572
262	36369	60431
263	36507	60291
264	36680	60210
265	36837	60103
266	36988	59985
267	37126	59845
268	37273	59720
269	37412	59583
270	37551	59444
271	37692	59310
272	37856	59211
273	38027	59122
274	38168	58987
275	38308	58851
276	38441	58702
277	38572	58552
278	38718	58425
279	38903	58355
280	39047	58223
281	39189	58089
282	39336	57962
283	39472	57818
284	39618	57690
285	39806	57621
286	39970	57518
287	40132	57412
288	40300	57313
289	40470	57216
290	40663	57151
291	40824	57042
292	40978	56922
293	41123	56789
294	41262	56648
295	41403	56509
296	41546	56375
297	41688	56237
298	41833	56105
299	41972	55962
300	42119	55832
301	42265	55701
302	42409	55566
303	42566	55448
304	42699	55299
305	42836	55155
306	42992	55035
307	43151	54920
308	43336	54837
309	43477	54698
310	43632	54575
311	43781	54446
312	43923	54308
313	44069	54174
314	44242	54073
315	44386	53937
316	44522	53792
317	44665	53655
318	44830	53543
319	44989	53425
320	45154	53313
321	45321	53203
322	45471	53072
323	45615	52936
324	45755	52794
325	45896	52653
326	46034	52510
327	46177	52371
328	46311	52223
329	46467	52099
330	46615	51967
331	46755	51824
332	46897	51685
333	47038	51544
334	47176	51401
335	47314	51257
336	47458	51120
337	47606	50987
338	47746	50844
339	47882	50698
340	48009	50543
341	48145	50397
342	48288	50259
343	48425	50115
344	48563	49971
345	48703	49829
346	48835	49679
347	48975	49538
348	49109	49390
349	49243	49243
350	49391	49109
351	49538	48975
352	49686	48841
353	49831	48705
354	49974	48566
355	50131	48441
356	50273	48301
357	50402	48150
358	50538	48004
359	50680	47864
360	50819	47722
361	50956	47578
362	51095	47435
363	51227	47287
364	51368	47146
365	51504	47001
366	51643	46859
367	51781	46715
368	51928	46580
369	52081	46451
370	52264	46347
371	52432	46230
372	52601	46114
373	52769	45997
374	52922	45866
375	53080	45739
376	53247	45620
377	53406	45494
378	53547	45352
379	53694	45216
380	53852	45088
381	53993	44947
382	54134	44806
383	54269	44659
384	54410	44517
385	54552	44376
386	54706	44245
387	54873	44125
388	55020	43988
389	55180	43861
390	55336	43731
391	55531	43631
392	55723	43529
393	55883	43402
394	56050	43279
395	56212	43153
396	56412	43055
397	56575	42928
398	56765	42823
399	56935	42701
400	57117	42589
401	57285	42465
402	57454	42342
403	57602	42203
404	57764	42075
405	57923	41944
406	58067	41802
407	58242	41683
408	58408	41556
409	58564	41423
410	58709	41282
411	58856	41142
412	58992	40995
413	59128	40847
414	59281	40711
415	59421	40566
416	59564	40423
417	59699	40275
418	59840	40131
419	59983	39989
420	60120	39842
421	60260	39697
422	60392	39547
423	60532	39403
424	60671	39258
425	60803	39108
426	60944	38964
427	61082	38818
428	61217	38671
429	61373	38536
430	61509	38389
431	61657	38250
432	61794	38103
433	61935	37960
434	62068	37811
435	62247	37691
436	62402	37555
437	62550	37416
438	62705	37280
439	62851	37139
440	62995	36997
441	63140	36855
442	63290	36717
443	63450	36583
444	63599	36444
445	63749	36305
446	63908	36172
447	64118	36066
448	64273	35930
449	64484	35824
450	64687	35714
451	64870	35592
452	65035	35461
453	65194	35325
454	65364	35196
455	65519	35058
456	65670	34918
457	65812	34774
458	65955	34630
459	66115	34495
460	66284	34364
461	66428	34220
462	66578	34080
463	66736	33943
464	66886	33802
465	67041	33664
466	67194	33525
